map_num:;36
accuracy:;2
start_ID:;0
end_ID;1
0.0;0.0;0.0;0.0;0.0;0.0
end_transform;Flase
9;-0.001;0.014;-0.005
10;-0.002;0.014;-0.005
11;0.004;0.016;0.027
12;0.015;0.014;0.087
13;0.025;0.014;0.145
14;0.036;0.015;0.204
15;0.05;0.017;0.263
16;0.094;0.026;0.318
17;0.151;0.044;0.315
18;0.208;0.061;0.312
19;0.262;0.08;0.298
20;0.311;0.096;0.276
21;0.355;0.111;0.245
22;0.397;0.121;0.214
23;0.441;0.131;0.178
24;0.484;0.14;0.144
25;0.526;0.147;0.109
26;0.56;0.153;0.062
27;0.584;0.157;0.006
28;0.608;0.159;-0.049
29;0.657;0.155;-0.093
30;0.715;0.15;-0.113
31;0.774;0.144;-0.129
32;0.832;0.137;-0.143
33;0.891;0.128;-0.157
34;0.949;0.118;-0.172
35;1.007;0.109;-0.186
36;1.065;0.098;-0.201
37;1.123;0.086;-0.215
38;1.181;0.074;-0.23
39;1.238;0.061;-0.244
40;1.295;0.046;-0.259
41;1.352;0.031;-0.273
42;1.466;-0.001;-0.278
43;1.523;-0.019;-0.265
44;1.582;-0.035;-0.254
45;1.639;-0.05;-0.243
46;1.695;-0.064;-0.22
47;1.744;-0.075;-0.184
48;1.793;-0.085;-0.142
49;1.844;-0.092;-0.099
50;1.903;-0.098;-0.061
51;1.963;-0.102;-0.03
52;2.021;-0.104;-0.007
53;2.079;-0.105;0.022
54;2.138;-0.104;0.051
55;2.197;-0.101;0.08
56;2.256;-0.096;0.109
57;2.314;-0.089;0.124
58;2.374;-0.082;0.122
59;2.417;-0.076;0.106
60;2.442;-0.072;0.049
61;2.465;-0.07;-0.008
62;2.488;-0.069;-0.067
63;2.511;-0.07;-0.126
64;2.533;-0.071;-0.185
65;2.555;-0.073;-0.244
66;2.577;-0.077;-0.303
67;2.6;-0.083;-0.362
68;2.62;-0.089;-0.42
69;2.627;-0.09;-0.479
70;2.629;-0.089;-0.539
71;2.632;-0.089;-0.599
72;2.634;-0.088;-0.659
73;2.637;-0.088;-0.719
74;2.64;-0.088;-0.779
75;2.643;-0.088;-0.839
76;2.645;-0.089;-0.899
77;2.648;-0.089;-0.959
78;2.651;-0.09;-1.019
79;2.654;-0.091;-1.079
80;2.657;-0.092;-1.139
81;2.659;-0.093;-1.201
82;2.661;-0.094;-1.261
83;2.664;-0.095;-1.321
84;2.666;-0.096;-1.381
85;2.669;-0.098;-1.441
86;2.67;-0.1;-1.501
87;2.672;-0.101;-1.519
88;2.673;-0.11;-1.514
89;2.675;-0.157;-1.512
90;2.679;-0.217;-1.51
91;2.683;-0.276;-1.509
92;2.685;-0.337;-1.514
93;2.688;-0.397;-1.512
94;2.691;-0.456;-1.511
95;2.694;-0.516;-1.509
96;2.698;-0.575;-1.508
97;2.701;-0.634;-1.506
98;2.705;-0.693;-1.505
99;2.709;-0.751;-1.503
100;2.717;-0.87;-1.499
101;2.72;-0.928;-1.481
102;2.725;-0.982;-1.449
103;2.731;-1.037;-1.417
104;2.739;-1.09;-1.382
105;2.748;-1.143;-1.346
106;2.76;-1.192;-1.31
107;2.77;-1.231;-1.249
108;2.779;-1.257;-1.191
109;2.787;-1.281;-1.132
110;2.797;-1.304;-1.073
111;2.808;-1.327;-1.014
112;2.821;-1.349;-0.955
113;2.833;-1.368;-0.896
114;2.834;-1.372;-0.837
115;2.834;-1.374;-0.778
116;2.834;-1.377;-0.719
117;2.834;-1.379;-0.66
118;2.834;-1.382;-0.6
119;2.834;-1.385;-0.541
120;2.835;-1.387;-0.482
121;2.836;-1.39;-0.423
122;2.837;-1.392;-0.364
123;2.838;-1.394;-0.305
124;2.839;-1.396;-0.246
125;2.841;-1.398;-0.187
126;2.842;-1.401;-0.128
127;2.844;-1.403;-0.069
128;2.856;-1.405;-0.01
129;2.886;-1.406;0.049
130;2.928;-1.404;0.108
131;2.976;-1.4;0.165
132;3.024;-1.392;0.222
133;3.071;-1.382;0.278
134;3.117;-1.37;0.334
135;3.163;-1.355;0.39
136;3.207;-1.337;0.446
137;3.25;-1.317;0.503
138;3.289;-1.296;0.559
139;3.327;-1.273;0.615
140;3.364;-1.248;0.671
141;3.398;-1.221;0.728
142;3.432;-1.192;0.784
143;3.465;-1.16;0.839
144;3.496;-1.125;0.884
145;3.518;-1.101;0.944
146;3.53;-1.086;1.003
147;3.541;-1.072;1.062
148;3.55;-1.059;1.121
149;3.557;-1.046;1.18
150;3.564;-1.032;1.24
151;3.574;-1.009;1.299
152;3.586;-0.963;1.346
153;3.597;-0.919;1.397
154;3.605;-0.882;1.459
155;3.61;-0.848;1.518
156;3.612;-0.805;1.566
157;3.611;-0.756;1.607
158;3.61;-0.704;1.646
159;3.605;-0.646;1.658
160;3.594;-0.528;1.66
161;3.588;-0.469;1.662
162;3.583;-0.411;1.663
163;3.577;-0.351;1.665
164;3.572;-0.293;1.666
165;3.56;-0.179;1.654
166;3.555;-0.123;1.646
167;3.551;-0.068;1.638
168;3.547;-0.01;1.629
169;3.543;0.045;1.621
170;3.541;0.101;1.613
171;3.539;0.158;1.604
172;3.537;0.214;1.596
173;3.535;0.27;1.587
174;3.535;0.326;1.579
175;3.534;0.383;1.571
176;3.534;0.439;1.562
177;3.535;0.495;1.554
178;3.536;0.552;1.545
179;3.537;0.61;1.537
180;3.54;0.666;1.528
181;3.543;0.725;1.532
182;3.546;0.773;1.578
183;3.546;0.816;1.626
184;3.544;0.857;1.679
185;3.54;0.9;1.732
186;3.535;0.941;1.785
187;3.526;0.983;1.838
188;3.514;1.03;1.888
189;3.499;1.077;1.927
190;3.485;1.115;1.989
191;3.479;1.133;2.045
192;3.485;1.127;2.102
193;3.493;1.117;2.161
194;3.502;1.107;2.22
195;3.512;1.099;2.279
196;3.524;1.088;2.338
197;3.552;1.063;2.394
198;3.584;1.035;2.439
199;3.606;1.02;2.498
200;3.607;1.021;2.539
201;3.606;1.024;2.597
202;3.605;1.027;2.655
203;3.604;1.029;2.715
204;3.604;1.032;2.774
205;3.603;1.034;2.833
206;3.601;1.036;2.892
207;3.6;1.038;2.951
208;3.598;1.041;3.01
209;3.597;1.043;3.069
210;3.595;1.045;3.128
211;3.586;1.047;-3.1
212;3.542;1.046;-3.048
213;3.486;1.041;-3.024
214;3.43;1.035;-3.001
215;3.371;1.027;-2.992
216;3.206;1.002;-3.006
217;3.163;0.996;-3.037
218;3.123;0.989;-3.075
219;3.084;0.985;-3.109
220;3.044;0.983;3.14
221;3.003;0.982;3.105
222;2.971;0.982;3.059
223;2.947;0.983;3.003
224;2.923;0.985;2.947
225;2.9;0.988;2.89
226;2.877;0.992;2.834
227;2.854;0.999;2.776
228;2.832;1.006;2.72
229;2.809;1.014;2.663
230;2.787;1.024;2.607
231;2.766;1.036;2.551
232;2.746;1.048;2.494
233;2.727;1.061;2.438
234;2.708;1.076;2.381
235;2.69;1.093;2.324
236;2.673;1.109;2.267
237;2.656;1.126;2.211
238;2.642;1.144;2.154
239;2.628;1.163;2.097
240;2.615;1.184;2.041
241;2.603;1.204;1.984
242;2.593;1.226;1.927
243;2.584;1.247;1.871
244;2.576;1.27;1.814
245;2.569;1.292;1.757
246;2.564;1.315;1.701
247;2.56;1.339;1.644
248;2.557;1.363;1.587
249;2.555;1.412;1.545
250;2.555;1.471;1.536
251;2.557;1.531;1.525
252;2.56;1.59;1.513
253;2.564;1.649;1.506
254;2.568;1.707;1.503
255;2.571;1.767;1.511
256;2.575;1.826;1.512
257;2.58;1.885;1.519
258;2.584;1.943;1.53
259;2.586;2.002;1.542
260;2.588;2.061;1.553
261;2.589;2.12;1.564
262;2.59;2.179;1.576
263;2.589;2.238;1.587
264;2.588;2.297;1.599
265;2.586;2.356;1.61
266;2.584;2.416;1.622
267;2.581;2.474;1.633
268;2.577;2.533;1.645
269;2.573;2.58;1.641
270;2.572;2.59;1.635
271;2.573;2.589;1.631
272;2.573;2.589;1.631
273;2.573;2.589;1.631
